1974	04	4288.936
1975	01	4237.593
1975	02	4268.614
1975	03	4340.867
1975	04	4397.806
1976	01	4496.761
1976	02	4530.335
1976	03	4552.030
1976	04	4584.623
1977	01	4639.990
1977	02	4731.092
1977	03	4815.812
1977	04	4815.321
1978	01	4830.832
1978	02	5021.183
1978	03	5070.661
1978	04	5137.416
1979	01	5147.430
1979	02	5152.338
1979	03	5189.446
1979	04	5204.662
1980	01	5221.253
1980	02	5115.917
1980	03	5107.376
1980	04	5202.110
1981	01	5307.544
1981	02	5266.117
1981	03	5329.829
1981	04	5263.368
1982	01	5177.077
1982	02	5204.859
1982	03	5185.225
1982	04	5189.839
1983	01	5253.845
1983	02	5372.336
1983	03	5478.360
1983	04	5590.469
1984	01	5699.830
1984	02	5797.902
1984	03	5854.251
1984	04	5902.354
1985	01	5956.937
1985	02	6007.789
1985	03	6101.737
1985	04	6148.564
1986	01	6207.368
1986	02	6232.008
1986	03	6291.695
1986	04	6323.404
1987	01	6365.028
1987	02	6435.023
1987	03	6493.434
1987	04	6606.820
1988	01	6639.118
1988	02	6723.544
1988	03	6759.376
1988	04	6848.612
1989	01	6918.116
1989	02	6963.471
1989	03	7013.144
1989	04	7030.913
1990	01	7112.100
1990	02	7130.261
1990	03	7130.752
1990	04	7076.857
1991	01	7040.828
1991	02	7086.477
1991	03	7120.738
1991	04	7154.116
1992	01	7228.234
1992	02	7297.935
1992	03	7369.500
1992	04	7450.687
1993	01	7459.718
1993	02	7497.514
1993	03	7535.996
1993	04	7637.406
1994	01	7715.058
1994	02	7815.682
1994	03	7859.465
1994	04	7951.647
1995	01	7973.735
1995	02	7987.970
1995	03	8053.056
1995	04	8111.958
1996	01	8169.191
1996	02	8303.094
1996	03	8372.697
1996	04	8470.572
1997	01	8536.051
1997	02	8665.831
1997	03	8773.720
1997	04	8838.414
1998	01	8936.191
1998	02	8995.289
1998	03	9098.858
1998	04	9237.081
1999	01	9315.518
1999	02	9392.581
1999	03	9502.237
1999	04	9671.089
2000	01	9695.631
2000	02	9847.892
2000	03	9836.603
2000	04	9887.749
2001	01	9875.576
2001	02	9905.911
2001	03	9871.060
2001	04	9910.034
2002	01	9977.280
2002	02	10031.568
2002	03	10090.666
2002	04	10095.771
2003	01	10126.007
2003	02	10212.691
2003	03	10398.723
2003	04	10466.951
2004	01	10543.621
2004	02	10634.232
2004	03	10728.671
2004	04	10796.408
2005	01	10878.380
2005	02	10954.069
2005	03	11074.326
2005	04	11107.213
2006	01	11238.662
2006	02	11306.694
2006	03	11336.734
2006	04	11395.538
2007	01	11412.619
2007	02	11520.115
2007	03	11658.927
2007	04	11675.714
